rank,feature,importance_gini
1,Weight,0.5065581908780683
2,Height,0.24696841208305856
3,Gender,0.16027734495726373
4,Age,0.02475245882260531
5,FAVC,0.023796725941922395
6,CH2O,0.010139165641737106
7,CAEC_Sometimes,0.007591005299457021
8,TUE,0.004725310995539016
9,NCP,0.003755596367458868
10,CAEC_Frequently,0.002326523477218796
11,MTRANS_Walking,0.00227094754525197
12,SCC,0.001833115643053255
13,CALC_no,0.0016346682615117107
14,MTRANS_Public_Transportation,0.001053901348299731
15,FAF,0.0007847045687975508
16,family_history_with_overweight,0.0006742318587043245
17,SMOKE,0.0005045272412073182
18,CALC_Sometimes,0.00035316906884512255
19,FCVC,0.0
20,CAEC_no,0.0
21,CALC_Frequently,0.0
22,MTRANS_Bike,0.0
23,MTRANS_Motorbike,0.0
